tick,flightState,filtered_altitude,filtered_acceleration
6906,IDLE,-0.0515558,9.90968
6919,IDLE,-0.0527668,9.90953
6932,IDLE,-0.0547908,9.90907
6945,IDLE,-0.0559655,9.90933
6958,IDLE,-0.058773,9.9095
6971,IDLE,-0.0607341,9.90959
6986,IDLE,-0.0610173,9.90923
6999,IDLE,-0.060478,9.90911
7012,IDLE,-0.0632047,9.90884
7025,IDLE,-0.0659115,9.90869
7038,IDLE,-0.0645167,9.90856
7051,IDLE,-0.0647623,9.90866
7064,IDLE,-0.0650039,9.90821
7077,IDLE,-0.0668485,9.90807
7094,IDLE,-0.0686742,9.90821
7107,IDLE,-0.0704813,9.90796
7133,IDLE,-0.0730651,9.90789
7146,IDLE,-0.0730651,9.90778
7159,IDLE,-0.0730651,9.90786
7172,IDLE,-0.0730651,9.90792
7185,IDLE,-0.0730651,9.90781
7198,IDLE,-0.0730651,9.90733
7211,IDLE,-0.0730651,9.9071
7224,IDLE,-0.0730651,9.90696
7242,IDLE,-0.0740375,9.90684
7255,IDLE,-0.0741958,9.90633
7268,IDLE,-0.0751463,9.90633
7281,IDLE,-0.0745107,9.90611
7294,IDLE,-0.0738843,9.90609
7311,IDLE,-0.0732668,9.90639
7324,IDLE,-0.0718852,9.90617
7337,IDLE,-0.0720561,9.90577
7350,IDLE,-0.0714636,9.90554
7363,IDLE,-0.0686061,9.90553
7376,IDLE,-0.0672803,9.90565
7389,IDLE,-0.0652164,9.90599
7402,IDLE,-0.0654398,9.90603
7415,IDLE,-0.0656597,9.90567
7430,IDLE,-0.0673764,9.90561
7443,IDLE,-0.0683323,9.90545
7460,IDLE,-0.0677842,9.90479
7477,IDLE,-0.0657675,9.90473
7490,IDLE,-0.0630239,9.90451
7503,IDLE,-0.0625193,9.90439
7520,IDLE,-0.0612813,9.90421
7533,IDLE,-0.0637402,9.90382
7546,IDLE,-0.0669211,9.90372
7559,IDLE,-0.0678737,9.90347
7572,IDLE,-0.0688149,9.90329
7585,IDLE,-0.0653253,9.90296
7598,IDLE,-0.0633262,9.90312
7611,IDLE,-0.0635594,9.90342
7624,IDLE,-0.0645308,9.9035
7637,IDLE,-0.0662218,9.90327
7650,IDLE,-0.0620391,9.90309
7663,IDLE,-0.0659848,9.90298
7676,IDLE,-0.0669496,9.90279
7689,IDLE,-0.0671542,9.90259
7703,IDLE,-0.0695695,9.90232
7720,IDLE,-0.0697522,9.90231
7733,IDLE,-0.0692007,9.90226
7746,IDLE,-0.0708468,9.90221
7759,IDLE,-0.0710171,9.9023
7772,IDLE,-0.0704632,9.90213
7785,IDLE,-0.0727952,9.90187
7798,IDLE,-0.0729485,9.90179
7811,IDLE,-0.0745357,9.90173
7824,IDLE,-0.0753957,9.90185
7837,IDLE,-0.0762457,9.90154
7850,IDLE,-0.0777935,9.90151
7865,IDLE,-0.0771989,9.90182
7878,IDLE,-0.0773154,9.90158
7891,IDLE,-0.0767316,9.90172
7908,IDLE,-0.076155,9.90156
7925,IDLE,-0.0755856,9.90131
7938,IDLE,-0.0777841,9.90133
7951,IDLE,-0.0827386,9.90111
7964,IDLE,-0.0807128,9.90082
7977,IDLE,-0.0808023,9.90079
7990,IDLE,-0.0815937,9.90096
8003,IDLE,-0.0851556,9.90118
8016,IDLE,-0.0831152,9.90105
8029,IDLE,-0.0845932,9.90142
8042,IDLE,-0.0881626,9.90132
8055,IDLE,-0.0881957,9.90112
8068,IDLE,-0.0868261,9.90134
8081,IDLE,-0.0861709,9.90139
8094,IDLE,-0.0855236,9.90146
8107,IDLE,-0.0897412,9.90153
8124,IDLE,-0.0904692,9.90146
8137,IDLE,-0.0897883,9.90137
8150,IDLE,-0.087729,9.901
8163,IDLE,-0.0884668,9.90092
8176,IDLE,-0.0857277,9.90077
8189,IDLE,-0.0892667,9.90064
8202,IDLE,-0.0913994,9.90041
8215,IDLE,-0.0921169,9.90039
8241,IDLE,-0.0921199,9.90056
8258,IDLE,-0.0921199,9.90055
8271,IDLE,-0.0921199,9.90027
8284,IDLE,-0.0921199,9.89999
8297,IDLE,-0.0921199,9.89994
8312,IDLE,-0.0921199,9.90007
8329,IDLE,-0.0921199,9.90005
8343,IDLE,-0.090733,9.90017
8356,IDLE,-0.0907464,9.90027
8369,IDLE,-0.0900725,9.90022
8382,IDLE,-0.0894066,9.9001
8395,IDLE,-0.0880637,9.90009
8408,IDLE,-0.0880965,9.90007
8421,IDLE,-0.0867746,9.89989
8434,IDLE,-0.0868164,9.90008
8447,IDLE,-0.0875346,9.89993
8460,IDLE,-0.0869035,9.90025
8477,IDLE,-0.0869438,9.90032
8494,IDLE,-0.0863241,9.90049
8507,IDLE,-0.0850509,9.90046
8520,IDLE,-0.0844479,9.90025
8537,IDLE,-0.0845049,9.90042
8550,IDLE,-0.0839123,9.90021
8563,IDLE,-0.0826767,9.90025
8576,IDLE,-0.0808092,9.90017
8589,IDLE,-0.0815447,9.90023
8602,IDLE,-0.0848567,9.90033
8615,IDLE,-0.0855675,9.90033
8628,IDLE,-0.0849686,9.90042
8641,IDLE,-0.0850212,9.9005
8654,IDLE,-0.0850731,9.90029
8667,IDLE,-0.0857676,9.9004
8680,IDLE,-0.0839115,9.90032
8693,IDLE,-0.0852484,9.90047
8707,IDLE,-0.0865755,9.90026
8724,IDLE,-0.0853431,9.90029
8741,IDLE,-0.084758,9.90025
8754,IDLE,-0.0829157,9.90006
8767,IDLE,-0.0817119,9.89984
8780,IDLE,-0.0805174,9.90001
8793,IDLE,-0.0774336,9.8999
8806,IDLE,-0.0775374,9.89962
8819,IDLE,-0.0770071,9.89945
8832,IDLE,-0.0777497,9.89938
8845,IDLE,-0.0791131,9.89901
8858,IDLE,-0.079839,9.89887
8871,IDLE,-0.0786693,9.89869
8884,IDLE,-0.0806458,9.89881
8897,IDLE,-0.0788447,9.89873
8910,IDLE,-0.0783091,9.8988
