tick,gx,gy,gz
350264,0.152593,0.366222,0.0762963
351265,0.518815,1.02237,1.648
352271,0.381481,0.320444,-0.991852
353271,0.991852,-0.122074,1.06815
354273,-0.396741,-0.305185,0.625629
355279,0.717185,0.061037,1.20548
356282,0.457778,0.137333,2.01422
357286,-0.0152593,0.701926,0.457778
358289,0.503555,-0.19837,-1.35807
359295,0.732444,-0.167852,-0.289926
360299,0.0305185,0.457778,-0.0152593
361302,-0.122074,0.701926,-0.106815
362302,0.793481,0,-0.137333
363308,0.457778,0.564592,-0.137333
364312,0.854518,0.564592,-0.167852
365316,0.503555,-0.228889,-0.671407
366326,0.106815,-0.396741,-0.244148
367330,0.732444,0.534074,1.02237
368330,1.26652,0.289926,0.457778
369333,-0.442518,0.289926,1.08341
370334,0.152593,-0.869778,0.396741
371341,0.0762963,-0.122074,0.366222
372343,0.961333,0.320444,0.747703
373346,0.152593,0.412,-0.0457778
374357,0.854518,0.244148,1.93793
375359,0.686666,1.12918,0.534074
376363,0.152593,0.579852,-0.366222
377367,0.518815,2.53304,1.19022
378371,0.595111,-0.457778,0.488296
379375,0.656148,-0.427259,-1.17496
380375,-0.412,0.80874,-0.061037
381382,1.28178,0.305185,-0.442518
382386,-0.61037,-0.244148,0.061037
383392,0.183111,-0.137333,-0.350963
384401,0.122074,0.457778,1.38859
385407,0.503555,0.869778,-0.0762963
386415,-0.0762963,-0.122074,0.686666
387417,0.19837,-0.244148,1.14444
388420,0.396741,0.137333,1.48015
389426,-0.61037,0.305185,0.579852
390429,0.106815,0.381481,1.43437
391432,0.503555,0.427259,0.228889
392438,-0.244148,0.900296,0.335704
393442,0.900296,0.518815,-0.335704
394445,0.259407,0.381481,0.106815
395449,1.03763,-0.0305185,-0.473037
396459,0.793481,1.05289,-0.167852
397463,0.0457778,0,-0.335704
398464,-0.106815,-0.503555,-0.396741
399465,0.228889,0.732444,0.427259
400466,-0.335704,-0.19837,-0.274667
401473,0.289926,-0.228889,-0.0305185
402486,-0.61037,-0.0457778,1.12918
403491,-0.762963,-0.747703,-0.534074
404495,0.442518,0.0457778,-0.19837
405499,0.259407,0.137333,0.640889
406507,0.335704,0.534074,0.518815
407514,-0.442518,0.106815,-0.595111
408518,-0.595111,0.0457778,1.32756
409522,0.21363,-1.20548,0.152593
410522,0.503555,-1.19022,-0.137333
411533,0.717185,0.427259,-0.244148
412533,-1.236,-0.518815,-0.488296
413536,0.625629,0.488296,0.503555
414542,1.5717,0.335704,0.61037
415576,0.0915555,0.0152593,0.183111
416580,-0.274667,0.122074,-0.0762963
417580,0,1.06815,-0.625629
418586,0.183111,0,0.0305185
419590,0.106815,0.0762963,0.244148
420598,0.930815,0.19837,1.34281
421601,0.488296,0.778222,0.961333
422602,-0.473037,-0.106815,0.335704
423619,-0.549333,0.732444,0.595111
424623,-0.274667,-0.717185,-0.167852
425633,0.122074,-1.236,0.137333
426635,0.442518,1.26652,-0.549333
427636,0.442518,0.259407,0.122074
428640,0.824,1.11393,-0.503555
429640,-0.0915555,-0.366222,-0.762963
430648,0.656148,0.991852,0.183111
431652,1.22074,0.518815,0.778222
432655,0.579852,-0.122074,-0.274667
433669,1.00711,0.0305185,-0.503555
434669,0.427259,0.350963,-0.396741
435675,0.0762963,-0.061037,0.21363
436681,0.19837,-0.259407,0.0305185
437683,0.762963,-0.656148,-0.885037
438687,-0.0152593,0.381481,-0.503555
439690,0.21363,0.991852,0.518815
440699,-0.274667,-0.930815,-1.26652
441699,0.152593,0.167852,-0.457778
442699,-0.259407,0.396741,0.244148
443702,0.549333,0.427259,0.320444
444702,0.106815,1.12918,0.305185
445711,0,-0.80874,-1.11393
446715,0.549333,-0.21363,1.55644
447725,1.03763,-0.0305185,0.595111
448729,0.534074,-0.686666,-0.137333
449733,1.14444,1.28178,0.19837
450735,0.396741,1.02237,-0.289926
451737,0.915555,-0.961333,-0.0305185
452739,1.05289,0.0762963,-0.0457778
453746,0.946074,0.167852,-0.122074
454746,-0.289926,-0.0457778,-0.274667
455752,0.778222,0.473037,0.274667
456756,0.457778,-0.335704,0.137333
457760,0.350963,0.442518,-0.549333
458760,0.656148,-0.0457778,-1.08341
459776,1.08341,0.457778,0.427259
460776,-0.21363,1.05289,0.885037
461784,0.80874,0.457778,0.244148
462786,-0.0152593,-0.671407,0.228889
463789,0.747703,0.366222,-0.503555
464793,1.19022,0.854518,0.259407
465800,0.335704,-0.137333,-0.0915555
466806,0.625629,0.961333,0.656148
467808,0.625629,0.289926,-0.457778
468821,0.427259,0.350963,1.29704
469833,0.656148,0.427259,0.991852
470845,0.0457778,0.503555,0.778222
471849,0.640889,0.320444,0.122074
472853,0.564592,-0.717185,0.137333
473853,0.732444,0.366222,-0.0457778
474856,0.61037,-0.366222,0.656148
475860,0.412,0.61037,0.701926
476874,0.381481,-0.19837,1.05289
477878,0.778222,0.152593,0.473037
478887,-1.17496,0.534074,-0.167852
479889,0.244148,0.762963,0
480901,0.122074,-0.366222,0.701926
481907,-0.0152593,0.259407,-0.732444
482909,0.0457778,0.885037,0.274667
483911,0.518815,-0.701926,-0.473037
484925,0.320444,0.701926,1.03763
485925,-0.595111,0.412,2.1363
486929,0.778222,-0.0305185,0.595111
487933,0.564592,-0.0457778,0.640889
488937,0.274667,0.778222,0.305185
489945,0.350963,0.762963,-0.259407
490953,0.961333,1.12918,0.976592
491955,0.549333,0.289926,0.61037
492962,-0.061037,0,-0.701926
493974,0.473037,-0.0152593,1.25126
494989,0.640889,0.503555,0.0762963
495994,-0.259407,0.793481,0.656148
497000,0.793481,0.671407,1.02237
498006,0.183111,1.03763,0.0762963
499010,0.747703,0.21363,0.625629
500016,0.778222,-0.122074,0.457778
501024,0.778222,-0.289926,-1.20548
502028,0.427259,-0.579852,-0.274667
503030,0.869778,-0.152593,0.686666
504046,-0.396741,0.320444,0.701926
505046,0.579852,-0.152593,0.305185
506049,0.0762963,0.0152593,0.473037
507052,-0.427259,-1.236,-0.549333
508060,0.244148,-0.427259,1.00711
509064,0.671407,0.595111,0.122074
510068,0.671407,-0.457778,1.03763
511074,-0.0762963,-1.06815,-1.09867
512086,0.0457778,0.640889,0.396741
513089,-0.518815,-0.122074,-0.335704
514096,0.0762963,0.534074,1.40385
515107,-0.0457778,-0.488296,-0.305185
516112,-0.122074,-0.366222,0.427259
517126,0.289926,-0.305185,-0.457778
518128,-1.43437,0.259407,-0.854518
519132,-0.335704,0.518815,-0.19837
520136,-0.137333,0,0.366222
521136,-0.381481,-0.717185,-1.236
522142,0.0305185,0.930815,0.793481
523146,-0.350963,0.274667,1.7243
