tick,accX,accY,accZ
417580,-9.84353,0.948428,-0.158071
418586,-9.90101,1.13524,-0.107776
419590,-9.82197,1.12087,-0.186812
420598,-9.87227,0.898132,-0.244292
421601,-9.82197,1.17835,-0.129331
422602,-9.8579,0.977168,-0.280217
423619,-9.87946,1.01309,-0.215552
424623,-9.86509,1.06339,-0.208367
425633,-9.85072,1.08494,-0.208367
426635,-9.85072,0.998723,-0.158071
427636,-9.81479,0.977168,-0.186812
428640,-9.82916,1.12087,-0.237107
429640,-9.88664,0.912502,-0.222737
430648,-9.85072,1.13524,-0.179626
431652,-9.87227,1.03465,-0.215552
432655,-9.83635,1.09931,-0.179626
433669,-9.86509,1.01309,-0.251477
434669,-9.84353,1.02746,-0.193997
435675,-9.87946,1.04183,-0.237107
436681,-9.85072,1.04902,-0.244292
437683,-9.85072,1.06339,-0.201182
438687,-9.8579,1.13524,-0.158071
439690,-9.8076,1.12805,-0.229922
440699,-9.90101,0.919688,-0.186812
441699,-9.82916,1.04902,-0.193997
442699,-9.80042,1.07776,-0.172441
443702,-9.82197,0.998723,-0.287402
444702,-9.82916,1.13524,-0.273032
445711,-9.8579,1.02746,-0.308958
446715,-9.75012,1.17835,-0.222737
447725,-9.85072,1.12805,-0.136516
448729,-9.87227,0.998723,-0.222737
449733,-9.82916,1.03465,-0.308958
450735,-9.85072,1.14242,-0.237107
451737,-9.86509,1.08494,-0.474214
452739,-9.83635,0.977168,-0.359253
453746,-9.80042,1.06339,-0.265847
454746,-9.81479,1.13524,-0.287402
455752,-9.86509,0.948428,-0.280217
456756,-9.8579,1.09931,-0.172441
457760,-9.8076,1.0562,-0.107776
458760,-9.89383,1.0562,-0.244292
459776,-9.8076,1.0562,-0.201182
460776,-9.86509,1.08494,-0.244292
461784,-9.87946,1.01309,-0.222737
462786,-9.83635,1.14961,-0.186812
463789,-9.85072,0.991538,-0.222737
464793,-9.82916,1.0562,-0.179626
465800,-9.84353,1.02028,-0.186812
466806,-9.85072,0.984353,-0.165256
467808,-9.78605,1.04183,-0.215552
468821,-9.82197,1.02028,-0.186812
469833,-9.87946,1.08494,-0.158071
470845,-9.81479,1.1065,-0.287402
471849,-9.84353,1.04183,-0.237107
472853,-9.88664,1.07057,-0.179626
473853,-9.86509,1.03465,-0.251477
474856,-9.83635,1.09213,-0.258662
475860,-9.87946,1.01309,-0.251477
476874,-9.81479,1.00591,-0.222737
477878,-9.81479,1.11368,-0.201182
478887,-9.85072,0.969983,-0.229922
479889,-9.82197,1.13524,-0.172441
480901,-9.84353,1.02746,-0.172441
481907,-9.84353,1.1065,-0.165256
482909,-9.85072,0.991538,-0.229922
483911,-9.8579,1.09931,-0.150886
484925,-9.84353,1.02028,-0.222737
485925,-9.81479,1.12087,-0.143701
486929,-9.87946,1.04902,-0.193997
487933,-9.90101,1.04902,-0.273032
488937,-9.83635,1.04183,-0.158071
489945,-9.89383,1.06339,-0.251477
490953,-9.86509,0.998723,-0.222737
491955,-9.84353,1.12805,-0.158071
492962,-9.88664,1.04183,-0.143701
493974,-9.88664,1.1065,-0.215552
494989,-9.79323,1.04902,-0.287402
495994,-9.83635,1.08494,-0.193997
497000,-9.84353,1.04183,-0.265847
498006,-9.82197,1.1065,-0.158071
499010,-9.82197,0.998723,-0.222737
500016,-9.83635,1.06339,-0.165256
501024,-9.86509,1.07057,-0.237107
502028,-9.82916,1.02746,-0.352068
503030,-9.81479,1.06339,-0.251477
504046,-9.84353,1.0562,-0.265847
505046,-9.82916,1.04183,-0.244292
506049,-9.83635,1.04183,-0.237107
507052,-9.87946,1.01309,-0.179626
508060,-9.87946,1.06339,-0.129331
509064,-9.85072,1.03465,-0.215552
510068,-9.77168,1.07776,-0.165256
511074,-9.85072,1.11368,-0.129331
512086,-9.81479,1.02746,-0.165256
513089,-9.81479,1.00591,-0.215552
514096,-9.88664,1.01309,-0.201182
515107,-9.8579,1.00591,-0.165256
516112,-9.8579,1.06339,0.0287402
517126,-9.82197,1.06339,-0.229922
518128,-9.8076,1.07776,-0.308958
519132,-9.85072,1.08494,-0.244292
520136,-9.87227,1.09213,-0.308958
521136,-9.82197,1.07057,-0.330513
522142,-9.88664,1.0562,-0.258662
523146,-9.8076,1.03465,-0.150886
524150,-9.85072,0.984353,-0.0646655
525158,-9.81479,1.04902,-0.0359253
526168,-9.77886,0.984353,-0.0862207
527178,-9.82197,1.0562,-0.100591
528182,-9.85072,1.0562,-0.158071
529188,-9.83635,1.11368,-0.201182
530199,-9.87227,1.09213,-0.237107
531203,-9.90101,1.01309,-0.244292
532208,-9.8579,1.0562,-0.273032
533218,-9.87227,1.06339,-0.237107
534222,-9.85072,1.01309,-0.287402
535230,-9.85072,1.07057,-0.265847
536238,-9.8579,1.07776,-0.215552
537250,-9.85072,1.03465,-0.229922
538254,-9.82197,1.07057,-0.193997
539257,-9.82916,1.06339,-0.165256
540266,-9.77886,1.07057,-0.158071
541278,-9.87227,1.04902,-0.179626
542282,-9.84353,1.01309,-0.201182
543286,-9.86509,1.0562,-0.237107
544293,-9.88664,1.00591,-0.251477
545296,-9.90101,1.03465,-0.208367
546300,-9.78605,1.0562,-0.193997
547302,-9.83635,1.09213,-0.258662
548302,-9.87946,1.07057,-0.186812
549307,-9.87227,1.04902,-0.208367
550316,-9.86509,1.04183,-0.244292
551320,-9.83635,1.0562,-0.179626
552324,-9.81479,1.02746,-0.215552
553328,-9.82197,1.08494,-0.201182
554330,-9.85072,1.0562,-0.193997
555332,-9.85072,1.0562,-0.193997
556336,-9.86509,0.998723,-0.215552
557351,-9.85072,1.07057,-0.244292
558352,-9.87946,1.07776,-0.186812
559356,-9.81479,1.02746,-0.208367
560362,-9.82916,1.04183,-0.179626
561370,-9.85072,1.01309,-0.208367
562376,-9.78605,1.07776,-0.193997
563380,-9.82197,1.06339,-0.258662
564392,-9.8579,1.06339,-0.222737
565405,-9.87227,1.09213,-0.330513
566409,-9.85072,1.08494,-0.273032
567413,-9.85072,1.04902,-0.316143
568423,-9.8579,1.06339,-0.330513
569447,-9.83635,1.0562,-0.201182
570450,-9.83635,1.03465,-0.273032
571458,-9.82197,1.04183,-0.222737
572462,-9.83635,1.07057,-0.165256
573468,-9.84353,1.04902,-0.186812
574481,-9.83635,1.06339,-0.193997
575482,-9.85072,1.00591,-0.172441
576482,-9.87946,1.07776,-0.179626
577486,-9.86509,1.01309,-0.193997
578487,-9.82197,1.1065,-0.229922
579490,-9.84353,1.02028,-0.172441
580493,-9.92975,1.04902,-0.201182
581502,-9.87227,1.04183,-0.251477
582519,-9.82916,1.06339,-0.158071
583533,-9.84353,1.01309,-0.201182
584535,-9.8076,1.0562,-0.237107
585539,-9.80042,0.998723,-0.186812
586550,-9.81479,1.02028,-0.222737
